@relation iris

@attribute sepallength {a,b}
@attribute sepalwidth {a,b}
@attribute petallength {a,b}
@attribute petalwidth {a,b}
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
a,b,a,a,Iris-setosa
a,b,a,a,Iris-setosa
a,b,a,a,Iris-setosa
a,b,a,a,Iris-setosa
a,b,a,a,Iris-setosa
a,b,a,a,Iris-setosa
a,b,a,a,Iris-setosa
a,b,a,a,Iris-setosa
a,a,a,a,Iris-setosa
a,b,a,a,Iris-setosa
a,b,a,a,Iris-setosa
a,b,a,a,Iris-setosa
a,b,a,a,Iris-setosa
a,b,a,a,Iris-setosa
b,b,a,a,Iris-setosa
b,b,a,a,Iris-setosa
a,b,a,a,Iris-setosa
a,b,a,a,Iris-setosa
b,b,a,a,Iris-setosa
a,b,a,a,Iris-setosa
a,b,a,a,Iris-setosa
a,b,a,a,Iris-setosa
a,b,a,a,Iris-setosa
a,b,a,a,Iris-setosa
a,b,a,a,Iris-setosa
a,b,a,a,Iris-setosa
a,b,a,a,Iris-setosa
a,b,a,a,Iris-setosa
a,b,a,a,Iris-setosa
a,b,a,a,Iris-setosa
a,b,a,a,Iris-setosa
a,b,a,a,Iris-setosa
a,b,a,a,Iris-setosa
b,b,a,a,Iris-setosa
a,b,a,a,Iris-setosa
a,b,a,a,Iris-setosa
b,b,a,a,Iris-setosa
a,b,a,a,Iris-setosa
a,b,a,a,Iris-setosa
a,b,a,a,Iris-setosa
a,b,a,a,Iris-setosa
a,a,a,a,Iris-setosa
a,b,a,a,Iris-setosa
a,b,a,a,Iris-setosa
a,b,a,a,Iris-setosa
a,b,a,a,Iris-setosa
a,b,a,a,Iris-setosa
a,b,a,a,Iris-setosa
a,b,a,a,Iris-setosa
a,b,a,a,Iris-setosa
b,b,b,b,Iris-versicolor
b,b,b,b,Iris-versicolor
b,b,b,b,Iris-versicolor
b,a,b,b,Iris-versicolor
b,a,b,b,Iris-versicolor
b,a,b,b,Iris-versicolor
b,b,b,b,Iris-versicolor
a,a,b,b,Iris-versicolor
b,a,b,b,Iris-versicolor
a,a,b,b,Iris-versicolor
a,a,b,b,Iris-versicolor
b,b,b,b,Iris-versicolor
b,a,b,b,Iris-versicolor
b,a,b,b,Iris-versicolor
b,a,b,b,Iris-versicolor
b,b,b,b,Iris-versicolor
b,b,b,b,Iris-versicolor
b,a,b,b,Iris-versicolor
b,a,b,b,Iris-versicolor
b,a,b,b,Iris-versicolor
b,b,b,b,Iris-versicolor
b,a,b,b,Iris-versicolor
b,a,b,b,Iris-versicolor
b,a,b,b,Iris-versicolor
b,a,b,b,Iris-versicolor
b,b,b,b,Iris-versicolor
b,a,b,b,Iris-versicolor
b,b,b,b,Iris-versicolor
b,a,b,b,Iris-versicolor
b,a,b,b,Iris-versicolor
b,a,b,b,Iris-versicolor
b,a,b,b,Iris-versicolor
b,a,b,b,Iris-versicolor
b,a,b,b,Iris-versicolor
a,b,b,b,Iris-versicolor
b,b,b,b,Iris-versicolor
b,b,b,b,Iris-versicolor
b,a,b,b,Iris-versicolor
b,b,b,b,Iris-versicolor
b,a,b,b,Iris-versicolor
b,a,b,b,Iris-versicolor
b,b,b,b,Iris-versicolor
b,a,b,b,Iris-versicolor
a,a,b,b,Iris-versicolor
b,a,b,b,Iris-versicolor
b,b,b,b,Iris-versicolor
b,a,b,b,Iris-versicolor
b,a,b,b,Iris-versicolor
a,a,b,b,Iris-versicolor
b,a,b,b,Iris-versicolor
b,b,b,b,Iris-virginica
b,a,b,b,Iris-virginica
b,b,b,b,Iris-virginica
b,a,b,b,Iris-virginica
b,b,b,b,Iris-virginica
b,b,b,b,Iris-virginica
a,a,b,b,Iris-virginica
b,a,b,b,Iris-virginica
b,a,b,b,Iris-virginica
b,b,b,b,Iris-virginica
b,b,b,b,Iris-virginica
b,a,b,b,Iris-virginica
b,b,b,b,Iris-virginica
b,a,b,b,Iris-virginica
b,a,b,b,Iris-virginica
b,b,b,b,Iris-virginica
b,b,b,b,Iris-virginica
b,b,b,b,Iris-virginica
b,a,b,b,Iris-virginica
b,a,b,b,Iris-virginica
b,b,b,b,Iris-virginica
b,a,b,b,Iris-virginica
b,a,b,b,Iris-virginica
b,a,b,b,Iris-virginica
b,b,b,b,Iris-virginica
b,b,b,b,Iris-virginica
b,a,b,b,Iris-virginica
b,b,b,b,Iris-virginica
b,a,b,b,Iris-virginica
b,b,b,b,Iris-virginica
b,a,b,b,Iris-virginica
b,b,b,b,Iris-virginica
b,a,b,b,Iris-virginica
b,a,b,b,Iris-virginica
b,a,b,b,Iris-virginica
b,b,b,b,Iris-virginica
b,b,b,b,Iris-virginica
b,b,b,b,Iris-virginica
b,b,b,b,Iris-virginica
b,b,b,b,Iris-virginica
b,b,b,b,Iris-virginica
b,b,b,b,Iris-virginica
b,a,b,b,Iris-virginica
b,b,b,b,Iris-virginica
b,b,b,b,Iris-virginica
b,b,b,b,Iris-virginica
b,a,b,b,Iris-virginica
b,b,b,b,Iris-virginica
b,b,b,b,Iris-virginica
b,b,b,b,Iris-virginica
